frame_index,step_time,eps11_bc,y_mm,u3_mean_mm,u3_min_mm,u3_max_mm,n_nodes
1,0.10000000149011612,0.0009999999776482583,4.0625,-0.012884579948149621,-0.013920729048550129,-0.011854772455990314,8
1,0.10000000149011612,0.0009999999776482583,4.21875,-0.012667190749198198,-0.013739326037466526,-0.011585609056055546,8
1,0.10000000149011612,0.0009999999776482583,4.375,-0.012414109078235924,-0.013547297567129135,-0.011269127950072289,8
1,0.10000000149011612,0.0009999999776482583,4.53125,-0.01212214061524719,-0.013316993601620197,-0.010898024775087833,8
1,0.10000000149011612,0.0009999999776482583,4.6875,-0.01161721654768501,-0.013029682449996471,-0.010507914237678051,7
1,0.10000000149011612,0.0009999999776482583,4.84375,-0.011407379992306232,-0.012663643807172775,-0.010144887492060661,6
1,0.10000000149011612,0.0009999999776482583,5.0,-0.010981429213037094,-0.012251327745616436,-0.009704498574137688,6
1,0.10000000149011612,0.0009999999776482583,5.15625,-0.010559717503686747,-0.011837124824523926,-0.00928139965981245,6
1,0.10000000149011612,0.0009999999776482583,5.3125,-0.010193182271905243,-0.011487006209790707,-0.008912266232073307,8
1,0.10000000149011612,0.0009999999776482583,5.46875,-0.009868116118013859,-0.01112624816596508,-0.008619026280939579,8
1,0.10000000149011612,0.0009999999776482583,5.625,-0.009586725034750998,-0.010786496102809906,-0.008386182598769665,8
1,0.10000000149011612,0.0009999999776482583,5.78125,-0.009354022913612425,-0.010496784932911396,-0.008206180296838284,8
1,0.10000000149011612,0.0009999999776482583,5.9375,-0.009162925416603684,-0.010261709801852703,-0.008057516068220139,8
1,0.10000000149011612,0.0009999999776482583,6.09375,-0.009013844304718077,-0.010065916925668716,-0.007957180961966515,8
1,0.10000000149011612,0.0009999999776482583,6.25,-0.008907386753708123,-0.009895924478769302,-0.007914231158792973,10
1,0.10000000149011612,0.0009999999776482583,6.40625,-0.008807423834999403,-0.009719646535813808,-0.007865972816944122,12
1,0.10000000149011612,0.0009999999776482583,6.5625,-0.008721268891046444,-0.009584609419107437,-0.007846635766327381,12
1,0.10000000149011612,0.0009999999776482583,6.71875,-0.008642089885792561,-0.009441899135708809,-0.007824461907148361,14
1,0.10000000149011612,0.0009999999776482583,6.875,-0.00855673487401671,-0.009299115277826786,-0.007754302583634853,18
1,0.10000000149011612,0.0009999999776482583,7.03125,-0.008462749081305586,-0.009199662134051323,-0.007673372980207205,26
1,0.10000000149011612,0.0009999999776482583,7.1875,-0.008379984813343202,-0.009210891090333462,-0.007572960574179888,42
1,0.10000000149011612,0.0009999999776482583,7.34375,-0.008284607407851861,-0.009053236804902554,-0.00746529595926404,65
1,0.10000000149011612,0.0009999999776482583,7.5,-0.008155160311322946,-0.008918684907257557,-0.007346688769757748,65
1,0.10000000149011612,0.0009999999776482583,7.65625,-0.008025917690247297,-0.008809336461126804,-0.007193660829216242,65
1,0.10000000149011612,0.0009999999776482583,7.8125,-0.007933556091633032,-0.008706493303179741,-0.007034547161310911,44
1,0.10000000149011612,0.0009999999776482583,7.96875,-0.007841046917467164,-0.008610066026449203,-0.0070929089561104774,26
1,0.10000000149011612,0.0009999999776482583,8.125,-0.007745025834689538,-0.008527317084372044,-0.006993287708610296,18
1,0.10000000149011612,0.0009999999776482583,8.28125,-0.007658376192141857,-0.008451050147414207,-0.006868511904031038,14
1,0.10000000149011612,0.0009999999776482583,8.4375,-0.007578882854431868,-0.008417670615017414,-0.006760678719729185,12
1,0.10000000149011612,0.0009999999776482583,8.59375,-0.00749278247045974,-0.008387355133891106,-0.0066252718679606915,12
1,0.10000000149011612,0.0009999999776482583,8.75,-0.007395625580102205,-0.008325990289449692,-0.006464807782322168,10
1,0.10000000149011612,0.0009999999776482583,8.90625,-0.007296051597222686,-0.008273149840533733,-0.0063242525793612,8
1,0.10000000149011612,0.0009999999776482583,9.0625,-0.007157939777243882,-0.00817371066659689,-0.006150553934276104,8
